'Al', 'Zn', 'Mg', 'Cu', 'Si', 'Fe', 'Mn', 'Cr', 'Ti', 'Other', 'Cycle','Temper', 'Precip', 'pH', 'Cl',wf', 'Rate'
96.83,0.2,0.68,0.4,0.85,0.5,0.13,0.13,0.15,0.15,6,22.7,2051.5,4.8,0.17,210,0.27
96.83,0.2,0.68,0.4,0.85,0.5,0.13,0.13,0.15,0.15,1,22.35,856,5.45,0.01,210,0.7
96.83,0.2,0.68,0.4,0.85,0.5,0.13,0.13,0.15,0.15,3,22.35,856,5.45,0.01,210,0.7
96.83,0.2,0.68,0.4,0.85,0.5,0.13,0.13,0.15,0.15,6,22.35,856,5.45,0.01,210,0.4
89.8,5.7,2.25,1.55,0.1,0.12,0.06,0.22,0.06,0.15,1,22.7,2051.5,4.8,0.17,-250,1.34
89.8,5.7,2.25,1.55,0.1,0.12,0.06,0.22,0.06,0.15,2,22.7,2051.5,4.8,0.17,-250,0.85
89.8,5.7,2.25,1.55,0.1,0.12,0.06,0.22,0.06,0.15,1,6.4,432,6.55,0,-250,0.07
89.8,5.7,2.25,1.55,0.1,0.12,0.06,0.22,0.06,0.15,2,6.4,432,6.55,0,-250,0.05
89.8,5.7,2.25,1.55,0.1,0.12,0.06,0.22,0.06,0.15,1,6.15,40,7.3,0.01,-250,0.15
89.8,5.7,2.25,1.55,0.1,0.12,0.06,0.22,0.06,0.15,2,6.15,40,7.3,0.01,-250,0.09
89.8,5.7,2.25,1.55,0.1,0.12,0.06,0.22,0.06,0.15,1,-0.45,357,7.05,0,-250,0.1
89.8,5.7,2.25,1.55,0.1,0.12,0.06,0.22,0.06,0.15,2,-0.45,357,7.05,0,-250,0.06
88.18,6,2.3,1.7,0.5,0.5,0.4,0.18,0.1,0.15,1,9.35,556,6,0.01,320,0.17
88.18,6,2.3,1.7,0.5,0.5,0.4,0.18,0.1,0.15,3,9.35,556,6,0.01,320,0.08
88.18,6,2.3,1.7,0.5,0.5,0.4,0.18,0.1,0.15,6,9.35,556,6,0.01,320,0.05
88.18,6,2.3,1.7,0.5,0.5,0.4,0.18,0.1,0.15,1,22.7,2051.5,4.8,0.17,320,0.97
88.18,6,2.3,1.7,0.5,0.5,0.4,0.18,0.1,0.15,3,22.7,2051.5,4.8,0.17,320,0.64
88.18,6,2.3,1.7,0.5,0.5,0.4,0.18,0.1,0.15,6,22.7,2051.5,4.8,0.17,320,0.37
88.18,6,2.3,1.7,0.5,0.5,0.4,0.18,0.1,0.15,1,22.35,856,5.45,0.01,320,0.73
88.18,6,2.3,1.7,0.5,0.5,0.4,0.18,0.1,0.15,3,22.35,856,5.45,0.01,320,0.78
88.18,6,2.3,1.7,0.5,0.5,0.4,0.18,0.1,0.15,6,22.35,856,5.45,0.01,320,0.67
88.77,5.6,2.5,1.6,0.5,0.5,0.15,0.23,0.1,0.05,1,22.7,2051.5,4.8,0.17,320,15.42
88.77,5.6,2.5,1.6,0.5,0.5,0.15,0.23,0.1,0.05,2,22.7,2051.5,4.8,0.17,320,6.73
88.77,5.6,2.5,1.6,0.5,0.5,0.15,0.23,0.1,0.05,3,22.7,2051.5,4.8,0.17,320,5.03
88.77,5.6,2.5,1.6,0.5,0.5,0.15,0.23,0.1,0.05,4,22.7,2051.5,4.8,0.17,320,6.33
88.77,5.6,2.5,1.6,0.5,0.5,0.15,0.23,0.1,0.05,5,22.7,2051.5,4.8,0.17,320,5.67
88.77,5.6,2.5,1.6,0.5,0.5,0.15,0.23,0.1,0.05,1,22.35,856,5.45,0.01,320,2.12
88.77,5.6,2.5,1.6,0.5,0.5,0.15,0.23,0.1,0.05,2,22.35,856,5.45,0.01,320,0.64
88.77,5.6,2.5,1.6,0.5,0.5,0.15,0.23,0.1,0.05,3,22.35,856,5.45,0.01,320,0.39
88.77,5.6,2.5,1.6,0.5,0.5,0.15,0.23,0.1,0.05,5,22.35,856,5.45,0.01,320,0.51
88.77,5.6,2.5,1.6,0.5,0.5,0.15,0.23,0.1,0.05,1,-0.45,357,7.05,0,320,0.13
88.77,5.6,2.5,1.6,0.5,0.5,0.15,0.23,0.1,0.05,2,-0.45,357,7.05,0,320,0.06
88.77,5.6,2.5,1.6,0.5,0.5,0.15,0.23,0.1,0.05,3,-0.45,357,7.05,0,320,0.05
88.77,5.6,2.5,1.6,0.5,0.5,0.15,0.23,0.1,0.05,5,-0.45,357,7.05,0,320,0.05
88.72,7.6,1.6,1.6,0.05,0.08,0.1,0.05,0.05,0.15,1,22.7,2051.5,4.8,0.17,-250,14.78
88.72,7.6,1.6,1.6,0.05,0.08,0.1,0.05,0.05,0.15,2,22.7,2051.5,4.8,0.17,-250,4.49
88.72,7.6,1.6,1.6,0.05,0.08,0.1,0.05,0.05,0.15,5,22.7,2051.5,4.8,0.17,-250,2.05
88.72,7.6,1.6,1.6,0.05,0.08,0.1,0.05,0.05,0.15,1,6.4,432,6.55,0,-250,0.22
88.72,7.6,1.6,1.6,0.05,0.08,0.1,0.05,0.05,0.15,2,6.4,432,6.55,0,-250,0.01
88.72,7.6,1.6,1.6,0.05,0.08,0.1,0.05,0.05,0.15,5,6.4,432,6.55,0,-250,0.01
88.72,7.6,1.6,1.6,0.05,0.08,0.1,0.05,0.05,0.15,1,6.15,40,7.3,0.01,-250,0.25
